kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
回,630,-times,times; pent in; mouth,カイ; エ,まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える,6,N3,kai (ON); e (ON); mawa.ru (KUN); -mawa.ru (KUN); -mawa.ri (KUN); mawa.su (KUN); -mawa.su (KUN); mawa.shi- (KUN); -mawa.shi (KUN); motoo.ru (KUN); ka.eru (KUN)
壇,631,podium,soil; dirt; ground; Churchill; top hat; -times; pent in; mouth; nightbreak; sun; day; one; floor,ダン; タン,,16,N1,dan (ON); tan (ON)
店,632,store,cave; fortune-telling; magic wand; augury; mouth,テン,みせ; たな,8,N4,ten (ON); mise (KUN); tana (KUN)
庫,633,warehouse,cave; car,コ; ク,くら,10,N2,ko (ON); ku (ON); kura (KUN)
庭,634,courtyard,cave; courts; porter; drop; samurai; stretch,テイ,にわ,10,N3,tei (ON); niwa (KUN)
庁,635,government office,cave; street; nail; spike,チョウ; テイ,やくしょ,5,N2,chou (ON); tei (ON); yakusho (KUN)
床,636,bed,cave; tree; wood,ショウ,とこ; ゆか,7,N2,shou (ON); toko (KUN); yuka (KUN)
麻,637,hemp,cave; grove; tree; wood,マ; マア,あさ,11,N1,ma (ON); maa (ON); asa (KUN)
磨,638,grind,hemp; cave; grove; tree; wood; stone; rock,マ,みが.く; す.る,16,N2,ma (ON); miga.ku (KUN); su.ru (KUN)
心,639,heart,drops; fishhook,シン,こころ; -ごころ; りっしんべん,4,N4,shin (ON); kokoro (KUN); -gokoro (KUN); rishinben (KUN)
忘,640,forget,perish; deceased; top hat; fishhook; heart,ボウ,わす.れる,7,N3,bou (ON); wasu.reru (KUN)
恣,641,selfish,,シ,ほしいまま,10,,shi (ON); hoshiimama (KUN)
忍,642,endure,blade; sword; dagger; drop; heart,ニン,しの.ぶ; しの.ばせる,7,N1,nin (ON); shino.bu (KUN); shino.baseru (KUN)
認,643,acknowledge,say; words; keitai; mouth; endure; blade; sword; dagger; drop; heart,ニン,みと.める; したた.める,14,N3,nin (ON); mito.meru (KUN); shitata.meru (KUN)
忌,644,mourning,snake; self; heart,キ,い.む; い.み; い.まわしい,7,N1,ki (ON); i.mu (KUN); i.mi (KUN); i.mawashii (KUN)
志,645,intention,samurai; heart,シ; シリング,こころざ.す; こころざし,7,N1,shi (ON); shiringu (ON); kokoroza.su (KUN); kokorozashi (KUN)
誌,646,document,say; words; keitai; mouth; intention; samurai; heart,シ,,14,N2,shi (ON)
芯,647,wick,flowers; heart,シン,,7,,shin (ON)
忠,648,loyalty,in; stick; mouth; heart,チュウ,,8,N1,chuu (ON)
串,649,shish kebab,kebab; in; stick; mouth,カン; ケン; セン,くし; つらぬ.く,7,,kan (ON); ken (ON); sen (ON); kushi (KUN); tsuranu.ku (KUN)
患,650,afflicted,kebab; in; stick; mouth; heart,カン,わずら.う,11,N2,kan (ON); wazura.u (KUN)
思,651,think,rice field; brains; heart,シ,おも.う; おもえら.く; おぼ.す,9,N4,shi (ON); omo.u (KUN); omoera.ku (KUN); obo.su (KUN)
恩,652,grace,cause; pent in; large; St. Bernard; heart,オン,,10,N1,on (ON)
応,653,apply,cave; heart,オウ; ヨウ; ノウ,あた.る; まさに; こた.える,7,N1,ou (ON); you (ON); nou (ON); ata.ru (KUN); masani (KUN); kota.eru (KUN)
意,654,idea,sound; vase; stand up; sun; day; heart,イ,,13,N4,i (ON)
臆,655,cowardice,moon; month; flesh; part of the body; idea; sound; vase; stand up; sun; day; heart,オク; ヨク,むね; おくする,17,,oku (ON); yoku (ON); mune (KUN); okusuru (KUN)
想,656,concept,inter milan; inter; tree; wood; eye; heart,ソウ; ソ,おも.う,13,N3,sou (ON); so (ON); omo.u (KUN)
息,657,breath,nose; drop; eye; heart,ソク,いき,10,N3,soku (ON); iki (KUN)
