kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
一,1,one,,イチ; イツ,ひと-; ひと.つ,1,N5,ichi (ON); itsu (ON); hito- (KUN); hito.tsu (KUN)
二,2,two,,ニ; ジ,ふた; ふた.つ; ふたた.び,2,N5,ni (ON); ji (ON); futa (KUN); futa.tsu (KUN); futata.bi (KUN)
三,3,three,,サン; ゾウ,み; み.つ; みっ.つ,3,N5,san (ON); zou (ON); mi (KUN); mi.tsu (KUN); mi.tsu (KUN)
四,4,four,pent in; human legs,シ,よ; よ.つ; よっ.つ; よん,5,N5,shi (ON); yo (KUN); yo.tsu (KUN); yo.tsu (KUN); yon (KUN)
五,5,five,,ゴ,いつ; いつ.つ,4,N5,go (ON); itsu (KUN); itsu.tsu (KUN)
六,6,six,top hat; animal legs,ロク; リク,む; む.つ; むっ.つ; むい,4,N5,roku (ON); riku (ON); mu (KUN); mu.tsu (KUN); mu.tsu (KUN); mui (KUN)
七,7,seven,diced,シチ,なな; なな.つ; なの,2,N5,shichi (ON); nana (KUN); nana.tsu (KUN); nano (KUN)
八,8,eight,,ハチ,や; や.つ; やっ.つ; よう,2,N5,hachi (ON); ya (KUN); ya.tsu (KUN); ya.tsu (KUN); you (KUN)
九,9,nine,baseball,キュウ; ク,ここの; ここの.つ,2,N5,kyuu (ON); ku (ON); kokono (KUN); kokono.tsu (KUN)
十,10,ten,needle,ジュウ; ジッ; ジュッ,とお; と,2,N5,juu (ON); ji (ON); ju (ON); too (KUN); to (KUN)
口,11,mouth,,コウ; ク,くち,3,N4,kou (ON); ku (ON); kuchi (KUN)
日,12,day,sun,ニチ; ジツ,ひ; -び; -か,4,N5,nichi (ON); jitsu (ON); hi (KUN); -bi (KUN); -ka (KUN)
月,13,month,moon; flesh; part of the body,ゲツ; ガツ,つき,4,N5,getsu (ON); gatsu (ON); tsuki (KUN)
田,14,rice field,brains,デン,た,5,N4,den (ON); ta (KUN)
目,15,eye,,モク; ボク,め; -め; ま-,5,N4,moku (ON); boku (ON); me (KUN); -me (KUN); ma- (KUN)
古,16,old,tombstone; gravestone; church; ten; needle; mouth,コ,ふる.い; ふる-; -ふる.す,5,N4,ko (ON); furu.i (KUN); furu- (KUN); -furu.su (KUN)
吾,17,I,five; mouth,ゴ,われ; わが-; あ-,7,,go (ON); ware (KUN); waga- (KUN); a- (KUN)
冒,18,risk,sun; day; eye,ボウ,おか.す,9,N1,bou (ON); oka.su (KUN)
朋,19,companion,moon; month; flesh; part of the body,ホウ,とも,8,N1,hou (ON); tomo (KUN)
明,20,bright,sun; day; moon; month; flesh; part of the body,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす,8,N4,mei (ON); myou (ON); min (ON); a.kari (KUN); aka.rui (KUN); aka.rumu (KUN); aka.ramu (KUN); aki.raka (KUN); a.keru (KUN); -a.ke (KUN); a.ku (KUN); a.kuru (KUN); a.kasu (KUN)
唱,21,chant,mouth; prosperous; sun; day; tongue wagging,ショウ,とな.える,11,N1,shou (ON); tona.eru (KUN)
晶,22,sparkle,day; sun,ショウ,,12,N1,shou (ON)
品,23,goods,mouth,ヒン; ホン,しな,9,N4,hin (ON); hon (ON); shina (KUN)
呂,24,spine,mouth; drop,ロ; リョ,せぼね,7,N1,ro (ON); ryo (ON); sebone (KUN)
昌,25,prosperous,sun; day,ショウ,さかん,8,N1,shou (ON); sakan (KUN)
早,26,early,sunflower; sun; day; ten; needle,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-,6,N4,sou (ON); sa (ON); haya.i (KUN); haya (KUN); haya- (KUN); haya.maru (KUN); haya.meru (KUN); sa- (KUN)
旭,27,rising sun,nine; baseball; sun; day,キョク,あさひ,6,N1,kyoku (ON); asahi (KUN)
世,28,generation,ten; twenty,セイ; セ; ソウ,よ; さんじゅう,5,N4,sei (ON); se (ON); sou (ON); yo (KUN); sanjuu (KUN)
胃,29,stomach,rice field; brains; moon; month; flesh; part of the body,イ,,9,N2,i (ON)
旦,30,nightbreak,sun; one; floor,タン; ダン,あき.らか; あきら; ただし; あさ; あした,5,N1,tan (ON); dan (ON); aki.raka (KUN); akira (KUN); tadashi (KUN); asa (KUN); ashita (KUN)
胆,31,gall bladder,gallbladder; moon; month; flesh; part of the body; nightbreak; sun; day; one; floor,タン,きも,9,N1,tan (ON); kimo (KUN)
亘,32,span,one; ceiling; sun; day; one; floor,コウ; カン,わた.る; もと.める,6,N1,kou (ON); kan (ON); wata.ru (KUN); moto.meru (KUN)
凹,33,concave,,オウ,くぼ.む; へこ.む; ぼこ,5,N1,ou (ON); kubo.mu (KUN); heko.mu (KUN); boko (KUN)
凸,34,convex,,トツ,でこ,5,N1,totsu (ON); deko (KUN)
旧,35,olden times,stick; sun; day,キュウ,ふる.い; もと,5,N2,kyuu (ON); furu.i (KUN); moto (KUN)
自,36,oneself,drop; eye,ジ; シ,みずか.ら; おの.ずから; おの.ずと,6,N4,ji (ON); shi (ON); mizuka.ra (KUN); ono.zukara (KUN); ono.zuto (KUN)
白,37,white,drop; sun; day,ハク; ビャク,しろ; しら-; しろ.い,5,N5,haku (ON); byaku (ON); shiro (KUN); shira- (KUN); shiro.i (KUN)
百,38,hundred,one; ceiling; white; dove,ヒャク; ビャク,もも,6,N5,hyaku (ON); byaku (ON); momo (KUN)
中,39,in,stick; mouth,チュウ,なか; うち; あた.る,4,N5,chuu (ON); naka (KUN); uchi (KUN); ata.ru (KUN)
千,40,thousand,drop; ten; needle,セン,ち,3,N5,sen (ON); chi (KUN)
舌,41,tongue,thousand; drop; ten; needle; mouth,ゼツ,した,6,N1,zetsu (ON); shita (KUN)
升,42,measuring box,thousand; drop; ten; needle,ショウ,ます,4,N1,shou (ON); masu (KUN)
昇,43,rise up,sun; day; measuring box; thousand; drop; ten; needle,ショウ,のぼ.る,8,N2,shou (ON); nobo.ru (KUN)
丸,44,round,drop; nine; baseball,ガン,まる; まる.める; まる.い,3,N2,gan (ON); maru (KUN); maru.meru (KUN); maru.i (KUN)
寸,45,measurement,glue; drop; ten with a hook,スン,,3,N1,sun (ON)
肘,46,elbow,moon; month; flesh; part of the body; glue,チュウ,ひじ,7,,chuu (ON); hiji (KUN)
専,47,specialty,ten; needle; rice field; brains; glue,セン,もっぱ.ら,9,N2,sen (ON); mopa.ra (KUN)
博,48,Dr.,ten; needle; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク; バク,,12,N1,haku (ON); baku (ON)
占,49,fortune-telling,magic wand; augury; divining rod; mouth,セン,し.める; うらな.う,5,N2,sen (ON); shi.meru (KUN); urana.u (KUN)
上,50,above,magic wand; augury; divining rod; one; floor,ジョウ; ショウ; シャン,うえ; -うえ; うわ-; かみ; あ.げる; -あ.げる; あ.がる; -あ.がる; あ.がり; -あ.がり; のぼ.る; のぼ.り; のぼ.せる; のぼ.す; よ.す,3,N5,jou (ON); shou (ON); shan (ON); ue (KUN); -ue (KUN); uwa- (KUN); kami (KUN); a.geru (KUN); -a.geru (KUN); a.garu (KUN); -a.garu (KUN); a.gari (KUN); -a.gari (KUN); nobo.ru (KUN); nobo.ri (KUN); nobo.seru (KUN); nobo.su (KUN); yo.su (KUN)
下,51,below,one; ceiling; magic wand; augury; divining rod,カ; ゲ,した; しも; もと; さ.げる; さ.がる; くだ.る; くだ.り; くだ.す; -くだ.す; くだ.さる; お.ろす; お.りる,3,N5,ka (ON); ge (ON); shita (KUN); shimo (KUN); moto (KUN); sa.geru (KUN); sa.garu (KUN); kuda.ru (KUN); kuda.ri (KUN); kuda.su (KUN); -kuda.su (KUN); kuda.saru (KUN); o.rosu (KUN); o.riru (KUN)
卓,52,eminent,magic wand; augury; divinging rod; sunflower; sun; day; ten; needle,タク,,8,N1,taku (ON)
朝,53,morning,mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,あさ,12,N4,chou (ON); asa (KUN)
嘲,54,derision,mouth; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ; トウ,あざけ.る,15,,chou (ON); tou (ON); azake.ru (KUN)
只,55,only,mouth; animal legs; eight,シ,ただ,5,N1,shi (ON); tada (KUN)
貝,56,shellfish,clam; oyster; eye; animal legs; eight,バイ,かい,7,N2,bai (ON); kai (KUN)
唄,57,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight,バイ,うた; うた.う,10,N1,bai (ON); uta (KUN); uta.u (KUN)
貞,58,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight,テイ,さだ,9,N1,tei (ON); sada (KUN)
員,59,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,,10,N4,in (ON)
貼,60,post a bill,shellfish; clam; oyster; eye; animal legs; eight; fortune-telling; magic wand; augury; mouth,テン; チョウ,は.る; つ.く,12,,ten (ON); chou (ON); ha.ru (KUN); tsu.ku (KUN)
見,61,see,eye; human legs,ケン,み.る; み.える; み.せる,7,N5,ken (ON); mi.ru (KUN); mi.eru (KUN); mi.seru (KUN)
児,62,newborn babe,olden times; stick; sun; day; human legs,ジ; ニ; ゲイ,こ; -こ; -っこ,7,N2,ji (ON); ni (ON); gei (ON); ko (KUN); -ko (KUN); -ko (KUN)
元,63,beginning,two; human legs,ゲン; ガン,もと,4,N4,gen (ON); gan (ON); moto (KUN)
頁,64,page,one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケツ,ぺえじ; おおがい; かしら,9,,ketsu (ON); peeji (KUN); oogai (KUN); kashira (KUN)
頑,65,stubborn,beginning; two; human legs; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,かたく,13,N1,gan (ON); kataku (KUN)
凡,66,mediocre,drop; wind,ボン; ハン,およ.そ; おうよ.そ; すべ.て,3,N1,bon (ON); han (ON); oyo.so (KUN); ouyo.so (KUN); sube.te (KUN)
負,67,defeat,bound up; shellfish; clam; oyster; eye; animal legs; eight,フ,ま.ける; ま.かす; お.う,9,N3,fu (ON); ma.keru (KUN); ma.kasu (KUN); o.u (KUN)
万,68,ten thousand,one; ceiling; bound up,マン; バン,よろず,3,N5,man (ON); ban (ON); yorozu (KUN)
句,69,phrase,bound up; mouth,ク,,5,N1,ku (ON)
肌,70,texture,moon; month; flesh; part of the body; wind,キ,はだ,6,N2,ki (ON); hada (KUN)
旬,71,decameron,bound up; sun; day,ジュン; シュン,,6,N1,jun (ON); shun (ON)
勺,72,ladle,bound up; drop,シャク,,3,N1,shaku (ON)
的,73,bull's eye,bull’s eye; white; dove; ladle; bound up; drop,テキ,まと,8,,teki (ON); mato (KUN)
首,74,neck,horns; nose; one; ceiling; drop; eye,シュ,くび,9,N3,shu (ON); kubi (KUN)
乙,75,fish guts,fishguts; fishhook,オツ; イツ,おと-; きのと,1,N1,otsu (ON); itsu (ON); oto- (KUN); kinoto (KUN)
乱,76,riot,tongue; thousand; drop; ten; needle; mouth; fishhook,ラン; ロン,みだ.れる; みだ.る; みだ.す; みだ; おさ.める; わた.る,7,N2,ran (ON); ron (ON); mida.reru (KUN); mida.ru (KUN); mida.su (KUN); mida (KUN); osa.meru (KUN); wata.ru (KUN)
直,77,straightaway,ten; needle; eye; fishhook,チョク; ジキ; ジカ,ただ.ちに; なお.す; -なお.す; なお.る; なお.き; す.ぐ,8,N3,choku (ON); jiki (ON); jika (ON); tada.chini (KUN); nao.su (KUN); -nao.su (KUN); nao.ru (KUN); nao.ki (KUN); su.gu (KUN)
具,78,tool,eye; one; animal legs; eight,グ,そな.える; つぶさ.に,8,N3,gu (ON); sona.eru (KUN); tsubusa.ni (KUN)
真,79,true,ten; needle; eye; tool; one; animal legs; eight,シン,ま; ま-; まこと,10,N4,shin (ON); ma (KUN); ma- (KUN); makoto (KUN)
工,80,craft,artificial,コウ; ク; グ,,3,N4,kou (ON); ku (ON); gu (ON)
左,81,left,by one’s side; craft,サ; シャ,ひだり,5,N5,sa (ON); sha (ON); hidari (KUN)
右,82,right,by one’s side; mouth,ウ; ユウ,みぎ,5,N5,u (ON); yuu (ON); migi (KUN)
有,83,possess,by one’s side; moon; month; flesh; part of the body,ユウ; ウ,あ.る,6,N4,yuu (ON); u (ON); a.ru (KUN)
賄,84,bribe,shellfish; clam; oyster; eye; animal legs; eight; possess; by one’s side; moon; month; flesh; part of the body,ワイ,まかな.う,13,N1,wai (ON); makana.u (KUN)
貢,85,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,コウ; ク,みつ.ぐ,10,N1,kou (ON); ku (ON); mitsu.gu (KUN)
項,86,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,コウ,うなじ,12,N1,kou (ON); unaji (KUN)
刀,87,sword,dagger,トウ,かたな; そり,2,N1,tou (ON); katana (KUN); sori (KUN)
刃,88,blade,drop; sword; dagger,ジン; ニン,は; やいば; き.る,3,N1,jin (ON); nin (ON); ha (KUN); yaiba (KUN); ki.ru (KUN)
切,89,cut,seven; diced; sword; dagger,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ,4,N4,setsu (ON); sai (ON); ki.ru (KUN); -ki.ru (KUN); ki.ri (KUN); -ki.ri (KUN); -gi.ri (KUN); ki.reru (KUN); -ki.reru (KUN); ki.re (KUN); -ki.re (KUN); -gi.re (KUN)
召,90,seduce,sword; dagger; mouth,ショウ,め.す,5,N2,shou (ON); me.su (KUN)
昭,91,shining,sun; day; seduce; summon; sword; dagger; mouth,ショウ,,9,N1,shou (ON)
則,92,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,のっと.る,9,N2,soku (ON); noto.ru (KUN)
副,93,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,フク,,11,N2,fuku (ON)
別,94,separate,mouth; bound up; sword; sabre; saber,ベツ,わか.れる; わ.ける,7,N4,betsu (ON); waka.reru (KUN); wa.keru (KUN)
丁,95,street,nail; spike,チョウ; テイ; チン; トウ; チ,ひのと,2,N1,chou (ON); tei (ON); chin (ON); tou (ON); chi (ON); hinoto (KUN)
町,96,village,rice field; brains; street; nail; spike,チョウ,まち,7,N4,chou (ON); machi (KUN)
可,97,can,mouth; street; street; nail; spike,カ; コク,-べ.き,5,,ka (ON); koku (ON); -be.ki (KUN)
頂,98,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,チョウ,いただ.く; いただき,11,N3,chou (ON); itada.ku (KUN); itadaki (KUN)
子,99,child,,シ; ス; ツ,こ; -こ; ね,3,N5,shi (ON); su (ON); tsu (ON); ko (KUN); -ko (KUN); ne (KUN)
孔,100,cavity,child; fishhook,コウ,あな,4,N1,kou (ON); ana (KUN)
了,101,complete,child with arms wrapped up,リョウ,,2,N2,ryou (ON)
女,102,woman,,ジョ; ニョ; ニョウ,おんな; め,3,N5,jo (ON); nyo (ON); nyou (ON); onna (KUN); me (KUN)
好,103,fond,woman; child,コウ,この.む; す.く; よ.い; い.い,6,N3,kou (ON); kono.mu (KUN); su.ku (KUN); yo.i (KUN); i.i (KUN)
如,104,likeness,woman; mouth,ジョ; ニョ,ごと.し,6,N1,jo (ON); nyo (ON); goto.shi (KUN)
母,105,mama,mother; breasts,ボ,はは; も,5,N5,bo (ON); haha (KUN); mo (KUN)
貫,106,pierce,mama; mother; breasts; oyster; shellfish; clam; oyster; eye; animal legs; eight,カン,つらぬ.く; ぬ.く; ぬき,11,N1,kan (ON); tsuranu.ku (KUN); nu.ku (KUN); nuki (KUN)
兄,107,elder brother,teenager; mouth; human legs,ケイ; キョウ,あに,5,N4,kei (ON); kyou (ON); ani (KUN)
呪,108,curse,mouth; elder brother; teenager; mouth; human legs,ジュ; シュ; シュウ; ズ,まじな.う; のろ.い; まじな.い; のろ.う,8,,ju (ON); shu (ON); shuu (ON); zu (ON); majina.u (KUN); noro.i (KUN); majina.i (KUN); noro.u (KUN)
克,109,overcome,ten; needle; elder brother; teenager; mouth; human legs,コク,か.つ,7,N1,koku (ON); ka.tsu (KUN)
小,110,little,small,ショウ,ちい.さい; こ-; お-; さ-,3,N5,shou (ON); chii.sai (KUN); ko- (KUN); o- (KUN); sa- (KUN)
少,111,few,little; small; drop,ショウ,すく.ない; すこ.し,4,N4,shou (ON); suku.nai (KUN); suko.shi (KUN)
大,112,large,St. Bernard,ダイ; タイ,おお-; おお.きい; -おお.いに,3,N5,dai (ON); tai (ON); oo- (KUN); oo.kii (KUN); -oo.ini (KUN)
多,113,many,evening,タ,おお.い; まさ.に; まさ.る,6,N4,ta (ON); oo.i (KUN); masa.ni (KUN); masa.ru (KUN)
夕,114,evening,,セキ,ゆう,3,N4,seki (ON); yuu (KUN)
汐,115,eventide,water; water droplets; water pistol; evening,セキ,しお; うしお; せい,6,N1,seki (ON); shio (KUN); ushio (KUN); sei (KUN)
外,116,outside,evening; magic wand; augury,ガイ; ゲ,そと; ほか; はず.す; はず.れる; と-,5,N5,gai (ON); ge (ON); soto (KUN); hoka (KUN); hazu.su (KUN); hazu.reru (KUN); to- (KUN)
名,117,name,evening; mouth,メイ; ミョウ,な; -な,6,N5,mei (ON); myou (ON); na (KUN); -na (KUN)
石,118,stone,cliff; mouth,セキ; シャク; コク,いし,5,N3,seki (ON); shaku (ON); koku (ON); ishi (KUN)
肖,119,resemblance,spark; candle; small; little; moon; month; flesh; part of the body,ショウ,あやか.る,7,N1,shou (ON); ayaka.ru (KUN)
硝,120,nitrate,stone; rock; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,,12,N1,shou (ON)
砕,121,smash,stone; rock; ninety; nine; baseball; ten; needle,サイ,くだ.く; くだ.ける,9,N1,sai (ON); kuda.ku (KUN); kuda.keru (KUN)
砂,122,sand,stone; rock; few,サ; シャ,すな,9,N2,sa (ON); sha (ON); suna (KUN)
妬,123,jealous,woman; stone; rock,ト; ツ,ねた.む; そね.む; つも.る; ふさ.ぐ,8,,to (ON); tsu (ON); neta.mu (KUN); sone.mu (KUN); tsumo.ru (KUN); fusa.gu (KUN)
削,124,plane,resemblance; spark; candle; small; little; moon; month; flesh; part of the body; sword; sabre; saber,サク,けず.る; はつ.る; そ.ぐ,9,N1,saku (ON); kezu.ru (KUN); hatsu.ru (KUN); so.gu (KUN)
光,125,ray,small; little; human legs,コウ,ひか.る; ひかり,6,N3,kou (ON); hika.ru (KUN); hikari (KUN)
太,126,plump,large; St. Bernard; drop,タイ; タ,ふと.い; ふと.る,4,N3,tai (ON); ta (ON); futo.i (KUN); futo.ru (KUN)
器,127,utensil,mouth; large; St. Bernard,キ,うつわ,15,N1,ki (ON); utsuwa (KUN)
臭,128,stinking,nose; drop; eye; large; St. Bernard,シュウ,くさ.い; -くさ.い; にお.う; にお.い,9,N1,shuu (ON); kusa.i (KUN); -kusa.i (KUN); nio.u (KUN); nio.i (KUN)
嗅,129,sniff,,キュウ,か.ぐ,13,,kyuu (ON); ka.gu (KUN)
妙,130,exquisite,woman; few,ミョウ; ビョウ,たえ,7,N1,myou (ON); byou (ON); tae (KUN)
省,131,focus,few; eye,セイ; ショウ,かえり.みる; はぶ.く,9,N2,sei (ON); shou (ON); kaeri.miru (KUN); habu.ku (KUN)
厚,132,thick,cliff; sun; day; child,コウ,あつ.い; あか,9,N2,kou (ON); atsu.i (KUN); aka (KUN)
奇,133,strange,large; St. Bernard; can; mouth; street; nail; spike,キ,く.しき; あや.しい; くし; めずら.しい,8,N1,ki (ON); ku.shiki (KUN); aya.shii (KUN); kushi (KUN); mezura.shii (KUN)
川,134,stream,flood,セン,かわ,3,N5,sen (ON); kawa (KUN)
州,135,state,stream; flood; drops,シュウ; ス,す,6,N2,shuu (ON); su (ON); su (KUN)
順,136,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ジュン,,12,N2,jun (ON)
水,137,water,,スイ,みず; みず-,4,N5,sui (ON); mizu (KUN); mizu- (KUN)
氷,138,icicle,drop; water,ヒョウ,こおり; ひ; こお.る,5,N2,hyou (ON); koori (KUN); hi (KUN); koo.ru (KUN)
永,139,eternity,drop; water,エイ,なが.い,5,N2,ei (ON); naga.i (KUN)
泉,140,spring,white; dove; water,セン,いずみ,9,N2,sen (ON); izumi (KUN)
腺,141,gland,moon; month; flesh; part of the body; spring; white; dove; water,セン,,13,,sen (ON)
原,142,meadow,cliff; spring; white; dove; small; little,ゲン,はら,10,N3,gen (ON); hara (KUN)
願,143,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,ねが.う; -ねがい,19,N3,gan (ON); nega.u (KUN); -negai (KUN)
泳,144,swim,water; water droplets; water pistol; eternity,エイ,およ.ぐ,8,N3,ei (ON); oyo.gu (KUN)
沼,145,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth,ショウ,ぬま,8,N1,shou (ON); numa (KUN)
沖,146,open sea,water; water droplets; water pistol; in; stick; mouth,チュウ,おき; おきつ; ちゅう.する; わく,7,N1,chuu (ON); oki (KUN); okitsu (KUN); chuu.suru (KUN); waku (KUN)
汎,147,pan-,water; water droplets; water pistol; mediocre; wind; drop,ハン; ブ; フウ; ホウ; ホン,ただよ.う; ひろ.い,6,,han (ON); bu (ON); fuu (ON); hou (ON); hon (ON); tadayo.u (KUN); hiro.i (KUN)
江,148,creek,water; water droplets; water pistol; craft,コウ,え,6,N1,kou (ON); e (KUN)
汰,149,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop,タ; タイ,おご.る; にご.る; よな.げる,7,N1,ta (ON); tai (ON); ogo.ru (KUN); nigo.ru (KUN); yona.geru (KUN)
汁,150,soup,water; water droplets; water pistol; ten; needle,ジュウ,しる; -しる; つゆ,5,N1,juu (ON); shiru (KUN); -shiru (KUN); tsuyu (KUN)
沙,151,grains of sand,water; water droplets; water pistol; few,サ; シャ,すな; よなげる,7,N1,sa (ON); sha (ON); suna (KUN); yonageru (KUN)
潮,152,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,しお; うしお,15,N1,chou (ON); shio (KUN); ushio (KUN)
源,153,source,water; water droplets; water pistol; meadow; cliff; sun; day; small; little,ゲン,みなもと,13,N1,gen (ON); minamoto (KUN)
活,154,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth,カツ,い.きる; い.かす; い.ける,9,N3,katsu (ON); i.kiru (KUN); i.kasu (KUN); i.keru (KUN)
消,155,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,き.える; け.す,10,N3,shou (ON); ki.eru (KUN); ke.su (KUN)
況,156,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs,キョウ,まし.て; いわ.んや; おもむき,8,N2,kyou (ON); mashi.te (KUN); iwa.nya (KUN); omomuki (KUN)
河,157,river,water; water droplets; water pistol; can; street; nail; spike; mouth,カ,かわ,8,N2,ka (ON); kawa (KUN)
泊,158,overnight,water; water droplets; water pistol; white; dove,ハク,と.まる; と.める,8,N2,haku (ON); to.maru (KUN); to.meru (KUN)
湖,159,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon; month; flesh; part of the body,コ,みずうみ,12,N2,ko (ON); mizuumi (KUN)
測,160,fathom,water; water droplets; water pistol; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,はか.る,12,N2,soku (ON); haka.ru (KUN)
土,161,soil,dirt; ground,ド; ト,つち,3,N5,do (ON); to (ON); tsuchi (KUN)
吐,162,spit,mouth; soil; dirt; ground,ト,は.く; つ.く,6,N1,to (ON); ha.ku (KUN); tsu.ku (KUN)
圧,163,pressure,cliff; soil; dirt; ground,アツ; エン; オウ,お.す; へ.す; おさ.える; お.さえる,5,N2,atsu (ON); en (ON); ou (ON); o.su (KUN); he.su (KUN); osa.eru (KUN); o.saeru (KUN)
埼,164,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth,キ,さき; さい; みさき,11,,ki (ON); saki (KUN); sai (KUN); misaki (KUN)
垣,165,hedge,soil; dirt; ground; span; one; ceiling; sun; day; one; floor; one,エン,かき,9,N1,en (ON); kaki (KUN)
填,166,inlay,,,,13,,
圭,167,squared jewel,square jewel; ivy; soil; dirt; ground,ケイ; ケ,,6,N1,kei (ON); ke (ON)
封,168,seal,ivy; square jewel; soil; dirt; ground; glue,フウ; ホウ,,9,N2,fuu (ON); hou (ON)
涯,169,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground,ガイ,はて,11,N1,gai (ON); hate (KUN)
寺,170,Buddhist temple,buddhist temple; soil; dirt; ground; glue,ジ,てら,6,N2,ji (ON); tera (KUN)
時,171,time,sun; day; Buddhist temple; soil; dirt; ground; glue,ジ,とき; -どき,10,N5,ji (ON); toki (KUN); -doki (KUN)
均,172,level,soil; dirt; ground; ladle; drop,キン,なら.す,7,N2,kin (ON); nara.su (KUN)
火,173,fire,,カ,ひ; -び; ほ-,4,N5,ka (ON); hi (KUN); -bi (KUN); ho- (KUN)
炎,174,inflammation,fire,エン,ほのお,8,N1,en (ON); honoo (KUN)
煩,175,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ハン; ボン,わずら.う; わずら.わす,13,N1,han (ON); bon (ON); wazura.u (KUN); wazura.wasu (KUN)
淡,176,thin,water; water droplets; water pistol; inflammation; fire,タン,あわ.い,11,N1,tan (ON); awa.i (KUN)
灯,177,lamp,fire; street; nail; spike,トウ,ひ; ほ-; ともしび; とも.す; あかり,6,N2,tou (ON); hi (KUN); ho- (KUN); tomoshibi (KUN); tomo.su (KUN); akari (KUN)
畑,178,farm,fire; rice field; brains,,はた; はたけ; -ばたけ,9,,hata (KUN); hatake (KUN); -batake (KUN)
災,179,disaster,stream; flood; fire,サイ,わざわ.い,7,N1,sai (ON); wazawa.i (KUN)
灰,180,ashes,cliff; fire,カイ,はい,6,N2,kai (ON); hai (KUN)
点,181,spot,fortune-telling; magic wand; augury; mouth; oven-fire; barbecue,テン,つ.ける; つ.く; た.てる; さ.す; とぼ.す; とも.す; ぼち,9,N3,ten (ON); tsu.keru (KUN); tsu.ku (KUN); ta.teru (KUN); sa.su (KUN); tobo.su (KUN); tomo.su (KUN); bochi (KUN)
照,182,illuminate,shining; sun; day; summon; seduce; sword; dagger; mouth; oven-fire; barbecue,ショウ,て.る; て.らす; て.れる,13,N2,shou (ON); te.ru (KUN); te.rasu (KUN); te.reru (KUN)
魚,183,fish,bound up; rice field; brains; oven-fire; barbecue,ギョ,うお; さかな; -ざかな,11,N4,gyo (ON); uo (KUN); sakana (KUN); -zakana (KUN)
漁,184,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue,ギョ; リョウ,あさ.る,14,N2,gyo (ON); ryou (ON); asa.ru (KUN)
里,185,ri,computer; rice field; brains; soil; dirt; ground,リ,さと,7,,ri (ON); sato (KUN)
黒,186,black,computer; oven-fire; barbecue,コク,くろ; くろ.ずむ; くろ.い,11,N4,koku (ON); kuro (KUN); kuro.zumu (KUN); kuro.i (KUN)
墨,187,black ink,black; computer; oven-fire; barbecue,ボク,すみ,14,N1,boku (ON); sumi (KUN)
鯉,188,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer,リ,こい,18,N1,ri (ON); koi (KUN)
量,189,quantity,nightbreak; sun; day; one; floor; computer,リョウ,はか.る,12,N2,ryou (ON); haka.ru (KUN)
厘,190,rin,cliff; computer,リン,,9,N1,rin (ON)
